"ring","year","site","sex","Difsite","survival","site_recode","Lrecapture","time_SLC"
"Z632327",2015,"SLS","F",0,0,"SLS",0,0
"Z632334",2015,"DEL","M",0,1,"DEL",0,0
"Z632334",2016,"DEL","M",0,0,"DEL",0,1
"Z632335",2015,"DEL","F",0,0,"DEL",0,0
"Z632342",2015,"DEL","F",0,0,"DEL",0,0
"Z632343",2015,"RTH","F",0,0,"RTH",0,0
"Z632344",2015,"RTH","M",0,0,"RTH",0,0
"Z632352",2015,"FSH","M",0,0,"FSH",0,0
"Z632353",2015,"FSH","F",0,0,"FSH",0,0
"Z632359",2015,"BIR","F",0,0,"BIR",0,0
"Z632360",2015,"BIR","M",0,0,"BIR",0,0
"Z632361",2015,"BIR","F",0,0,"BIR",0,0
"Z632368",2015,"STY","F",0,1,"STY",0,0
"Z632368",2016,"STY","F",0,1,"STY",0,1
"Z632368",2017,"STY","F",0,1,"STY",0,1
"Z632368",2018,"STY","F",0,1,"STY",0,1
"Z632368",2019,"STY","F",0,0,"STY",0,1
"Z632370",2015,"PTH","F",0,1,"PTH",0,0
"Z632370",2018,"PTH","F",0,0,"PTH",1,3
"Z632371",2015,"RSY","F",0,0,"RSY",0,0
"Z632372",2015,"BIR","M",0,0,"BIR",0,0
"Z632373",2015,"RSY","M",0,1,"RSY",0,0
"Z632373",2016,"RSY","M",0,0,"RSY",0,1
"Z632374",2015,"CRU","M",0,1,"CRU",0,0
"Z632374",2016,"CRU","M",0,0,"CRU",0,1
"Z632375",2015,"CRU","F",0,0,"CRU",0,0
"Z632381",2016,"PTH","F",0,0,"PTH",0,0
"Z632382",2016,"SER","M",0,0,"SER",0,0
"Z632383",2016,"FOF","F",0,0,"FOF",0,0
"Z632384",2016,"LVN","M",0,1,"LVN",0,0
"Z632384",2017,"LVN","M",0,1,"LVN",0,1
"Z632384",2018,"LVN","M",0,1,"LVN",0,1
"Z632384",2019,"LVN","M",0,0,"LVN",0,1
"Z632385",2016,"SER","F",0,0,"SER",0,0
"Z632386",2016,"FOF","M",0,1,"FOF",0,0
"Z632386",2017,"FOF","M",0,1,"FOF",0,1
"Z632386",2018,"FOF","M",0,1,"FOF",0,1
"Z632386",2019,"FOF","M",0,0,"FOF",0,1
"Z632387",2016,"SER","F",0,1,"SER",0,0
"Z632387",2018,"SER","F",0,0,"SER",1,2
"Z632388",2016,"SER","M",0,0,"SER",0,0
"Z632389",2016,"SER","F",0,0,"SER",0,0
"Z632390",2016,"MCH","F",0,1,"MCH",0,0
"Z632390",2017,"MCH","F",0,1,"MCH",0,1
"Z632390",2018,"MCH","F",0,1,"MCH",0,1
"Z632390",2019,"MCH","F",0,0,"MCH",0,1
"Z632391",2016,"MCH","M",0,0,"MCH",0,0
"Z632392",2016,"STY","F",0,0,"STY",0,0
"Z632393",2016,"STY","M",0,1,"STY",0,0
"Z632393",2017,"STY","M",0,0,"STY",0,1
"Z632394",2016,"STY","F",0,0,"STY",0,0
"Z632395",2016,"MCH","F",0,0,"MCH",0,0
"Z632396",2016,"MCH","M",0,1,"MCH",0,0
"Z632396",2017,"MCH","M",0,0,"MCH",0,1
"Z632397",2016,"SER","M",0,1,"SER",0,0
"Z632397",2017,"SER","M",0,1,"SER",0,1
"Z632397",2018,"SER","M",0,1,"SER",0,1
"Z632397",2019,"SER","M",0,0,"SER",0,1
"Z632398",2016,"LVN","F",0,1,"LVN",0,0
"Z632398",2017,"LVN","F",0,1,"LVN",0,1
"Z632398",2018,"LVN","F",0,1,"LVN",0,1
