"year","site","mean_temp","total_precip","mean_mean_temp","rel_mean_temp","mean_total_precip","rel_total_precip"
2018,"BIR",0.925454545454545,237.12,0.714452919658583,0.211001625795963,377.596,-140.476
2019,"BIR",1.30131147540984,404.02,0.714452919658583,0.586858555751253,377.596,26.424
2020,"BIR",0.356280991735537,440.82,0.714452919658583,-0.358171927923046,377.596,63.224
2021,"BIR",1.22818181818182,298.94,0.714452919658583,0.513728898523235,377.596,-78.656
2022,"BIR",0.376198347107438,347.76,0.714452919658583,-0.338254572551145,377.596,-29.836
2023,"BIR",1.20598360655738,485.86,0.714452919658583,0.491530686898794,377.596,108.264
2014,"BLA",-0.813305785123967,456.59,-0.120577767240211,-0.692728017883756,391.641,64.949
2015,"BLA",-0.212131147540984,664.29,-0.120577767240211,-0.0915533803007722,391.641,272.649
2016,"BLA",0.733801652892562,305.36,-0.120577767240211,0.854379420132773,391.641,-86.2809999999999
2017,"BLA",-1.4101652892562,247,-0.120577767240211,-1.28958752201599,391.641,-144.641
2018,"BLA",0.304297520661157,249.09,-0.120577767240211,0.424875287901368,391.641,-142.551
2019,"BLA",0.282213114754098,528.81,-0.120577767240211,0.40279088199431,391.641,137.169
2020,"BLA",-0.365867768595041,407.33,-0.120577767240211,-0.24529000135483,391.641,15.689
2021,"BLA",0.387933884297521,323.57,-0.120577767240211,0.508511651537732,391.641,-68.071
2022,"BLA",-0.381570247933884,316.25,-0.120577767240211,-0.260992480693673,391.641,-75.391
2023,"BLA",0.269016393442623,418.12,-0.120577767240211,0.389594160682834,391.641,26.479
2014,"BLG",-0.0465289256198347,371.42,0.62631696247121,-0.672845888091045,347.819,23.601
2015,"BLG",0.668606557377049,627.18,0.62631696247121,0.0422895949058393,347.819,279.361
2016,"BLG",1.42462809917355,248.7,0.62631696247121,0.798311136702344,347.819,-99.119
2017,"BLG",-0.702396694214876,247.53,0.62631696247121,-1.32871365668609,347.819,-100.289
2018,"BLG",0.931570247933884,222.94,0.62631696247121,0.305253285462674,347.819,-124.879
2019,"BLG",1.11926229508197,427.18,0.62631696247121,0.492945332610757,347.819,79.361
2020,"BLG",0.343223140495868,377.47,0.62631696247121,-0.283093821975342,347.819,29.651
2021,"BLG",1.09570247933884,260.01,0.62631696247121,0.469385516867633,347.819,-87.809
2022,"BLG",0.320495867768595,293.18,0.62631696247121,-0.305821094702615,347.819,-54.639
2023,"BLG",1.10860655737705,402.58,0.62631696247121,0.482289594905839,347.819,54.761
2014,"CAL",-1.21719008264463,487.65,-0.593030822381791,-0.624159260262837,450.59,37.06
2015,"CAL",-0.612704918032787,705.76,-0.593030822381791,-0.0196740956509959,450.59,255.17
2016,"CAL",0.282396694214876,367.46,-0.593030822381791,0.875427516596667,450.59,-83.13
2017,"CAL",-1.89223140495868,278.46,-0.593030822381791,-1.29920058257689,450.59,-172.13
2018,"CAL",-0.121652892561983,298.86,-0.593030822381791,0.471377929819808,450.59,-151.73
