"site"	"year"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"FOF"	"2017"	"5.67915972131336"	"6.86206839247177"	"5.98307464434046"	"6.75843344478688"	"5.48676950391989"	"6.26835770430799"	"5.26745687713531"	"5.21767505320253"	"4.80981427307422"	"6.84278127361503"	"5.69971371881845"	"5.89145363518847"
"BAD"	"2017"	"6.00002744854084"	"7.15619019213532"	"6.33029310203178"	"7.05893937976357"	"5.7116265691742"	"6.74938969187665"	"5.5799061323578"	"5.50220256387562"	"5.38953765618711"	"7.35164188000811"	"5.91653484274653"	"6.12491280532474"
"LVN"	"2017"	"4.64709261703015"	"5.6264993940464"	"4.99118877924932"	"5.55294656709174"	"4.59021401802644"	"5.48204336261015"	"4.63522349902511"	"4.44942932969646"	"4.21106813862428"	"5.91578560144365"	"4.63218365619555"	"4.8998128887499"
"DOW"	"2017"	"4.93090319939581"	"5.96740964881326"	"5.26721932873357"	"5.83981207658952"	"4.82149891535285"	"5.79397465703109"	"4.83350954141429"	"4.66593964452138"	"4.44754958453174"	"6.26771158426291"	"4.91160097764754"	"5.14939383461902"
"GLF"	"2017"	"4.22644134495687"	"4.93878745331493"	"4.44532903131388"	"4.99060271283817"	"3.93498527511914"	"4.88021363940974"	"4.12130638401486"	"4.04748394435908"	"3.81272029332479"	"5.45262520179927"	"4.28285766819347"	"4.43754981097996"
"SER"	"2017"	"2.9011143681575"	"3.4984385760391"	"3.23915854806125"	"3.66172026635694"	"2.95652344020838"	"3.70258152781461"	"3.12070211423427"	"3.0332136038303"	"2.65245806339096"	"3.82046695114426"	"2.89742606117636"	"3.03068183576252"
"MCH"	"2017"	"4.245822769761"	"5.04099984440163"	"4.56473986509121"	"5.08447816446704"	"4.04754264231793"	"5.02145961993243"	"4.15460792402062"	"4.11940322101118"	"3.71325629483113"	"5.63144181444501"	"4.47548861950701"	"4.6125660534754"
"PTH"	"2017"	"2.55592860227205"	"3.077718827594"	"2.82890114583401"	"3.24763844778685"	"2.67982814763269"	"3.34269529368361"	"2.81146554308639"	"2.77209359704058"	"2.5189813120193"	"3.32011187309966"	"2.29240443641648"	"2.36683236267909"
"STY"	"2017"	"2.58557416711578"	"3.08956184708891"	"2.79548431642851"	"3.17071830057938"	"2.68717995716117"	"3.30586796687094"	"2.77934810908519"	"2.79380379130516"	"2.66380332641522"	"3.29750445706466"	"2.12059376021699"	"2.22379740311758"
"BIR"	"2017"	"3.17491879490828"	"3.76570369576318"	"3.3626268635332"	"3.70499434233218"	"3.22570743092772"	"3.95004352145914"	"3.26605026253787"	"3.259765899791"	"2.99469533489577"	"4.13674400372724"	"2.73594480499546"	"3.09062044784042"
"DUN"	"2017"	"2.63246537405748"	"3.02991001931041"	"2.74468895856307"	"3.05372780663287"	"2.55415921548308"	"3.22538015579861"	"2.76351200204988"	"2.64184729589643"	"2.45218711113532"	"3.29551395487362"	"2.13394301114957"	"2.42221962046965"
